,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2018-09-03,114.739,114.59,114.853,114.481,3546,40231670.0,0.32,-0.13,-0.149,2.69
1,2018-09-04,114.582,114.421,114.678,114.421,1010,11444687.0,0.22,-0.15,-0.169,0.77
2,2018-09-05,114.421,114.558,114.595,114.41,440,4978315.0,0.16,0.12,0.137,0.33
3,2018-09-06,114.525,114.513,114.626,114.282,3787,42907999.0,0.3,-0.04,-0.045,2.88
4,2018-09-07,114.396,114.422,114.635,114.396,4764,53909727.0,0.21,-0.08,-0.091,3.62
5,2018-09-10,114.422,114.44,116.033,114.103,2959,33495944.0,1.69,0.02,0.018,2.25
6,2018-09-11,114.44,114.231,114.54,114.127,1811,20477030.0,0.36,-0.18,-0.209,1.38
7,2018-09-12,114.28,114.412,114.423,114.19,553,6252186.0,0.2,0.16,0.181,0.42
8,2018-09-13,114.412,114.383,114.425,114.303,2764,31265556.0,0.11,-0.03,-0.029,2.1
9,2018-09-14,114.282,114.362,114.475,114.238,9295,105105493.0,0.21,-0.02,-0.021,7.06
10,2018-09-17,114.389,114.363,114.529,114.301,10837,122595378.0,0.2,0.0,0.001,8.23
11,2018-09-18,114.333,114.33,114.392,114.31,6433,72735398.0,0.07,-0.03,-0.033,4.89
12,2018-09-19,114.38,114.368,114.494,114.295,6352,71829990.0,0.17,0.03,0.038,4.82
13,2018-09-20,114.48,114.404,114.577,114.375,6425,72699465.0,0.18,0.03,0.036,4.88
14,2018-09-21,114.404,114.54,114.599,114.404,9951,112701798.0,0.17,0.12,0.136,7.56
15,2018-09-25,114.471,114.538,114.71,114.471,24325,275579952.0,0.21,0.0,-0.002,18.48
16,2018-09-26,114.54,114.655,114.679,114.528,28346,321260096.0,0.13,0.1,0.117,21.53
17,2018-09-27,114.655,114.708,114.766,114.581,28661,325068064.0,0.16,0.05,0.053,21.77
18,2018-09-28,114.773,115.008,115.029,114.773,34886,396450640.0,0.22,0.26,0.3,26.5
19,2018-10-08,114.977,115.28,115.38,114.843,48609,553126576.0,0.47,0.24,0.272,36.92
20,2018-10-09,115.096,115.275,115.58,115.096,43735,498886592.0,0.42,0.0,-0.005,33.22
21,2018-10-10,115.09,114.826,115.375,114.712,29349,333434672.0,0.58,-0.39,-0.449,22.29
22,2018-10-11,114.826,115.218,115.3,114.826,44017,500715008.0,0.41,0.34,0.392,33.43
23,2018-10-12,115.061,115.347,115.479,115.061,43672,498485088.0,0.36,0.11,0.129,33.17
24,2018-10-15,115.98,115.479,115.98,115.36,43374,495180896.0,0.54,0.11,0.132,32.94
25,2018-10-16,115.183,115.469,115.878,115.182,4759,54359890.0,0.6,-0.01,-0.01,3.61
26,2018-10-17,115.07,115.53,115.759,115.07,24721,282474512.0,0.6,0.05,0.061,18.78
27,2018-10-18,115.535,115.76,115.78,115.535,26885,307632288.0,0.21,0.2,0.23,20.42
28,2018-10-19,115.77,115.793,115.88,115.68,27646,316521760.0,0.17,0.03,0.033,21.0
29,2018-10-22,115.76,115.608,115.78,115.532,27368,312974368.0,0.21,-0.16,-0.185,20.79
30,2018-10-23,115.606,115.634,115.778,115.534,42136,482010800.0,0.21,0.02,0.026,32.0
31,2018-10-24,115.541,115.655,115.723,115.541,42048,480873264.0,0.16,0.02,0.021,31.94
32,2018-10-25,115.699,115.578,116.033,115.48,23293,266644897.0,0.48,-0.07,-0.077,17.69
33,2018-10-26,115.578,115.576,115.63,115.469,23667,270526992.0,0.14,0.0,-0.002,17.98
34,2018-10-29,115.627,115.588,115.714,115.546,19361,221318019.0,0.15,0.01,0.012,14.71
35,2018-10-30,115.611,115.547,115.633,115.481,20827,238024118.0,0.13,-0.04,-0.041,15.82
36,2018-10-31,115.494,115.585,115.594,115.494,25380,290049264.0,0.09,0.03,0.038,19.28
37,2018-11-01,115.586,115.67,115.674,115.585,21399,244759101.0,0.08,0.07,0.085,16.25
38,2018-11-02,115.53,115.451,115.778,115.335,26341,301243216.0,0.38,-0.19,-0.219,20.01
39,2018-11-05,115.62,115.611,115.675,115.483,29582,338179904.0,0.17,0.14,0.16,22.47
40,2018-11-06,115.648,115.725,115.778,115.622,25612,292982640.0,0.13,0.1,0.114,19.45
41,2018-11-07,115.71,115.9,115.907,115.71,26556,304274048.0,0.17,0.15,0.175,20.17
42,2018-11-08,115.9,116.046,116.107,115.9,17091,196113927.0,0.18,0.13,0.146,12.98
43,2018-11-09,116.035,115.981,116.145,115.948,23522,269997344.0,0.17,-0.06,-0.065,17.87
44,2018-11-12,115.99,116.212,116.229,115.99,19835,227745220.0,0.21,0.2,0.231,15.06
45,2018-11-13,116.212,116.106,116.335,116.031,24469,281196688.0,0.26,-0.09,-0.106,18.58
46,2018-11-14,116.353,116.317,116.353,116.106,24733,284395040.0,0.21,0.18,0.211,18.79
47,2018-11-15,116.317,116.709,118.28,116.317,12398,142880781.0,1.69,0.34,0.392,9.42
48,2018-11-16,116.58,116.828,117.052,116.58,10863,125517675.0,0.4,0.1,0.119,8.25
49,2018-11-19,116.828,116.785,116.924,116.77,20433,236106867.0,0.13,-0.04,-0.043,15.52
50,2018-11-20,116.78,116.545,116.8,116.5,14378,165818248.0,0.26,-0.21,-0.24,10.92
51,2018-11-21,116.495,116.609,116.706,116.492,13886,160210165.0,0.18,0.05,0.064,10.55
52,2018-11-22,116.63,116.54,116.77,116.53,14017,161738524.0,0.21,-0.06,-0.069,10.65
53,2018-11-23,116.545,115.971,116.579,115.937,15897,182456455.0,0.55,-0.49,-0.569,12.07
54,2018-11-26,115.979,115.965,116.074,115.945,21978,252084491.0,0.11,-0.01,-0.006,16.69
55,2018-11-27,115.967,115.998,116.14,115.964,16902,193932406.0,0.15,0.03,0.033,12.84
56,2018-11-28,116.005,116.002,116.095,115.974,14424,165492400.0,0.1,0.0,0.004,10.96
57,2018-11-29,116.03,116.005,116.03,115.975,17499,200769704.0,0.05,0.0,0.003,13.29
58,2018-11-30,116.012,116.035,116.156,116.011,18471,212111820.0,0.12,0.03,0.03,14.03
59,2018-12-03,115.993,116.12,116.172,111.463,10338,118682455.0,4.06,0.07,0.085,7.85
60,2018-12-04,116.125,116.455,116.529,116.125,6680,76900178.0,0.35,0.29,0.335,5.07
61,2018-12-05,116.469,116.721,116.731,116.457,11963,138074293.0,0.24,0.23,0.266,9.09
62,2018-12-06,116.778,116.977,117.053,116.778,6321,73094468.0,0.24,0.22,0.256,4.8
63,2018-12-07,116.977,116.931,117.028,116.875,4124,47688650.0,0.13,-0.04,-0.046,3.13
64,2018-12-10,116.999,117.112,117.28,116.98,5484,63532846.0,0.26,0.15,0.181,4.17
65,2018-12-11,117.131,117.268,117.269,117.131,4523,52436355.0,0.12,0.13,0.156,3.44
66,2018-12-12,117.27,117.287,117.326,117.22,14214,164897010.0,0.09,0.02,0.019,10.8
67,2018-12-13,117.274,117.099,117.296,117.081,23015,266691336.0,0.18,-0.16,-0.188,17.48
68,2018-12-14,117.091,116.945,117.091,116.898,24968,288896832.0,0.16,-0.13,-0.154,18.96
69,2018-12-17,116.951,117.04,117.069,116.951,11276,130518941.0,0.1,0.08,0.095,8.56
70,2018-12-18,116.781,117.13,117.13,116.78,8548,99009404.0,0.3,0.08,0.09,6.49
71,2018-12-19,117.145,117.275,117.28,117.08,4996,57901549.0,0.17,0.12,0.145,3.79
72,2018-12-20,117.275,117.084,117.366,117.012,6793,78765886.0,0.3,-0.16,-0.191,5.16
73,2018-12-21,117.091,117.327,117.342,117.091,16339,189588138.0,0.21,0.21,0.243,12.41
74,2018-12-24,117.331,117.311,118.028,117.261,4632,53749648.0,0.65,-0.01,-0.016,3.52
75,2018-12-25,117.32,117.262,117.379,116.288,7774,90187845.0,0.93,-0.04,-0.049,5.9
76,2018-12-26,117.268,117.249,117.297,117.172,13622,157958872.0,0.11,-0.01,-0.013,10.35
77,2018-12-27,117.183,117.288,117.32,117.099,13573,157447679.0,0.19,0.03,0.039,10.31
78,2018-12-28,117.331,117.873,117.88,117.331,5173,60215738.0,0.47,0.5,0.585,3.93
79,2019-01-02,117.865,117.547,117.87,117.298,5354,62249939.0,0.49,-0.28,-0.326,4.07
80,2019-01-03,117.548,117.6,117.98,117.548,11034,128359318.0,0.37,0.05,0.053,8.38
81,2019-01-04,117.769,117.807,117.88,117.7,10511,122510883.0,0.15,0.18,0.207,7.98
82,2019-01-07,117.761,117.918,117.929,117.761,5143,59974833.0,0.14,0.09,0.111,3.91
83,2019-01-08,117.911,117.902,117.919,117.81,5191,60531120.0,0.09,-0.01,-0.016,3.94
84,2019-01-09,117.902,117.904,117.92,117.811,8140,94899887.0,0.09,0.0,0.002,6.18
85,2019-01-10,117.904,117.897,117.962,117.881,7197,83934131.0,0.07,-0.01,-0.007,5.47
86,2019-01-11,117.897,117.851,117.897,117.84,9590,111812944.0,0.05,-0.04,-0.046,7.28
87,2019-01-14,117.851,117.75,117.854,117.733,5259,61262793.0,0.1,-0.09,-0.101,3.99
88,2019-01-15,117.752,117.784,117.829,117.752,11259,131169084.0,0.07,0.03,0.034,8.55
89,2019-01-16,117.784,117.879,117.93,117.736,10844,126420073.0,0.16,0.08,0.095,8.24
90,2019-01-17,117.83,117.951,117.969,117.83,6489,75706005.0,0.12,0.06,0.072,4.93
91,2019-01-18,117.947,117.883,118.0,117.878,4047,47212212.0,0.1,-0.06,-0.068,3.07
92,2019-01-21,117.632,117.76,117.874,117.632,5584,65045539.0,0.21,-0.1,-0.123,4.24
93,2019-01-22,117.731,117.795,117.797,117.731,7104,82763003.0,0.06,0.03,0.035,5.4
94,2019-01-23,117.798,117.768,117.839,117.703,6278,73149532.0,0.12,-0.02,-0.027,4.77
95,2019-01-24,117.681,117.805,117.817,117.679,4285,49931075.0,0.12,0.03,0.037,3.25
96,2019-01-25,117.76,117.801,117.837,117.76,4598,53568475.0,0.07,0.0,-0.004,3.49
97,2019-01-28,117.801,117.778,117.804,117.708,7481,87141807.0,0.08,-0.02,-0.023,5.68
98,2019-01-29,117.779,117.85,117.864,117.778,7067,82365976.0,0.07,0.06,0.072,5.37
99,2019-01-30,117.85,117.934,117.94,117.85,7071,82468043.0,0.08,0.07,0.084,5.37
100,2019-01-31,117.935,118.004,118.069,117.935,6956,81200449.0,0.11,0.06,0.07,5.28
101,2019-02-01,118.004,118.11,118.179,118.004,4987,58245249.0,0.15,0.09,0.106,3.79
102,2019-02-11,118.11,118.222,118.268,118.081,7638,89275936.0,0.16,0.09,0.112,5.8
103,2019-02-12,118.222,118.289,118.372,118.221,6134,71784171.0,0.13,0.06,0.067,4.66
104,2019-02-13,118.33,118.312,118.368,118.29,7544,88314365.0,0.07,0.02,0.023,5.73
105,2019-02-14,118.295,118.224,118.359,118.22,12356,144555143.0,0.12,-0.07,-0.088,9.38
106,2019-02-15,118.238,118.348,118.348,118.238,9290,108687737.0,0.09,0.1,0.124,7.06
107,2019-02-18,118.347,118.219,118.779,118.192,17912,209498502.0,0.5,-0.11,-0.129,13.6
108,2019-02-19,118.219,118.163,118.219,118.03,9620,112414921.0,0.16,-0.05,-0.056,7.31
109,2019-02-20,118.15,118.203,118.215,118.101,28085,328296880.0,0.1,0.03,0.04,21.33
110,2019-02-21,118.203,118.161,118.208,118.14,25024,292532720.0,0.06,-0.04,-0.042,19.01
